resp_id,degree_label,degree_code_int,region_continent,hours_level,high_stress_group,v089,v089_code,worklife_score,v084_num,degree_duration_text,degree_duration_years,degree_progress_text,degree_progress_years,study_in_home_country,study_in_home_country_flag,high_hours_flag,low_worklife_flag,high_hours_only_flag,low_worklife_only_flag,both_high_hours_and_low_wlb_flag,v079_num,v091_num,v097_num,v100_num,v101_num,supervisor_support_raw,institution_support_raw,supervisor_z,institution_z,supervisor_cat,institution_cat,support_quadrant_label,degree_prep_code,degree_prep_label,caring_responsibility_code,caring_responsibility_label
919,Master's,2.0,Asia,high,1,51-60 hours,2.0,3.0,1.0,2 years,2.0,Less than a year,0.5,No,0.0,1,1,0,0,1,5.0,1.0,3.0,7.0,1.0,3.0,3.6666666666666665,0.042669332220143,0.6080901564504835,Medium,High,Medium supervisor / High institution,2.0,Well,1.0,Somewhat agree
920,Doctorate,1.0,Europe,very_high,0,61-70 hours,4.0,4.0,3.0,3 years,3.0,3 years,3.0,No,0.0,1,0,1,0,0,6.0,4.0,4.0,2.0,2.0,5.0,2.6666666666666665,1.433753727006158,-0.2374083328797255,High,Medium,High supervisor / Medium institution,5.0,Very badly,5.0,Strongly disagree
921,Doctorate,1.0,Australasia,medium,0,31-40 hours,3.0,4.0,3.0,3 years,3.0,3 years,3.0,No,0.0,0,0,0,0,0,2.0,2.0,1.0,2.0,2.0,2.0,1.6666666666666667,-0.6528728651728645,-1.0829068222099345,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
922,Doctorate,1.0,Asia,high,0,41-50 hours,1.0,5.0,2.0,3 years,3.0,1 year,1.0,No,0.0,1,0,1,0,0,2.0,5.0,2.0,4.0,5.0,3.5,3.6666666666666665,0.3904404309166467,0.6080901564504835,Medium,High,Medium supervisor / High institution,1.0,Very well,2.0,Strongly agree
923,Doctorate,1.0,Australasia,medium,0,31-40 hours,3.0,6.0,6.0,4 years,4.0,4 years,4.0,No,0.0,0,0,0,0,0,1.0,1.0,2.0,1.0,1.0,1.0,1.3333333333333333,-1.348415062565872,-1.3647396519866708,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
924,Master's,2.0,Australasia,high,0,41-50 hours,1.0,4.0,3.0,3 years,3.0,2 years,2.0,Yes,1.0,1,0,1,0,0,2.0,1.0,1.0,1.0,1.0,1.5,1.0,-1.0006439638693685,-1.6465724817634069,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
925,Doctorate,1.0,Australasia,medium,0,31-40 hours,3.0,6.0,6.0,3 years,3.0,Less than a year,0.5,Yes,1.0,0,0,0,0,0,2.0,1.0,3.0,3.0,2.0,1.5,2.6666666666666665,-1.0006439638693685,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,2.0,Well,2.0,Strongly agree
926,Doctorate,1.0,Asia,very_high,1,71-80 hours,6.0,2.0,4.0,5 years ,5.0,3 years,3.0,Yes,1.0,1,1,0,0,1,3.0,5.0,1.0,4.0,3.0,4.0,2.6666666666666665,0.7382115296131505,-0.2374083328797255,High,Medium,High supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
927,Master's,2.0,Australasia,high,0,41-50 hours,1.0,4.0,3.0,2 years,2.0,1 year,1.0,Yes,1.0,1,0,1,0,0,1.0,2.0,4.0,5.0,4.0,1.5,4.333333333333333,-1.0006439638693685,1.1717558160039558,Low,High,Low supervisor / High institution,1.0,Very well,1.0,Somewhat agree
928,Doctorate,1.0,Australasia,medium,0,31-40 hours,3.0,4.0,3.0,4 years,4.0,3 years,3.0,Yes,1.0,0,0,0,0,0,1.0,2.0,1.0,2.0,1.0,1.5,1.3333333333333333,-1.0006439638693685,-1.3647396519866708,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
929,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,5.0,2.0,4 years,4.0,3 years,3.0,Yes,1.0,1,0,1,0,0,3.0,1.0,5.0,2.0,1.0,2.0,2.6666666666666665,-0.6528728651728645,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,4.0,Badly,4.0,Somewhat disagree
930,Master's,2.0,Europe,medium,0,21-30 hours,5.0,4.0,3.0,3 years,3.0,1 year,1.0,Yes,1.0,0,0,0,0,0,5.0,4.0,2.0,1.0,2.0,4.5,1.6666666666666667,1.0859826283096543,-1.0829068222099345,High,Low,High supervisor / Low institution,3.0,Neither well nor badly,2.0,Strongly agree
931,Master's,2.0,North/Central America,medium,0,31-40 hours,3.0,5.0,2.0,2 years,2.0,Less than a year,0.5,No,0.0,0,0,0,0,0,2.0,2.0,7.0,1.0,2.0,2.0,3.333333333333333,-0.6528728651728645,0.3262573266737473,Low,Medium,Low supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
932,Doctorate,1.0,North/Central America,very_high,1,71-80 hours,6.0,1.0,5.0,5 years ,5.0,Less than a year,0.5,No,0.0,1,1,0,0,1,6.0,4.0,1.0,5.0,1.0,5.0,2.333333333333333,1.433753727006158,-0.5192411626564616,High,Low,High supervisor / Low institution,3.0,Neither well nor badly,4.0,Somewhat disagree
933,Doctorate,1.0,Europe,very_high,1,More than 80 hours,7.0,1.0,5.0,3 years,3.0,3 years,3.0,Yes,1.0,1,1,0,0,1,4.0,5.0,4.0,1.0,4.0,4.5,3.0,1.0859826283096543,0.0444244968970109,High,Medium,High supervisor / Medium institution,3.0,Neither well nor badly,3.0,Neither agree nor disagree
934,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,3.0,1.0,4 years,4.0,3 years,3.0,Yes,1.0,0,1,0,1,0,1.0,4.0,1.0,4.0,2.0,2.5,2.333333333333333,-0.3051017664763607,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
935,Master's,2.0,Europe,high,1,41-50 hours,1.0,3.0,1.0,2 years,2.0,2 years,2.0,Yes,1.0,1,1,0,0,1,3.0,1.0,1.0,2.0,4.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
936,Master's,2.0,Asia,medium,0,31-40 hours,3.0,4.0,3.0,3 years,3.0,2 years,2.0,Yes,1.0,0,0,0,0,0,5.0,5.0,2.0,1.0,1.0,5.0,1.3333333333333333,1.433753727006158,-1.3647396519866708,High,Low,High supervisor / Low institution,3.0,Neither well nor badly,3.0,Neither agree nor disagree
937,Doctorate,1.0,Australasia,medium,0,31-40 hours,3.0,4.0,3.0,4 years,4.0,4 years,4.0,No,0.0,0,0,0,0,0,1.0,5.0,1.0,2.0,3.0,3.0,2.0,0.042669332220143,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,1.0,Very well,2.0,Strongly agree
938,Doctorate,1.0,Europe,very_high,0,61-70 hours,4.0,6.0,6.0,3 years,3.0,2 years,2.0,Yes,1.0,1,0,1,0,0,5.0,1.0,7.0,7.0,1.0,3.0,5.0,0.042669332220143,1.7354214755574289,Medium,High,Medium supervisor / High institution,1.0,Very well,3.0,Neither agree nor disagree
939,Master's,2.0,Africa,very_high,0,61-70 hours,4.0,4.0,3.0,2 years,2.0,Less than a year,0.5,No,0.0,1,0,1,0,0,2.0,5.0,6.0,3.0,6.0,3.5,5.0,0.3904404309166467,1.7354214755574289,Medium,High,Medium supervisor / High institution,2.0,Well,2.0,Strongly agree
940,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,5.0,2.0,4 years,4.0,Less than a year,0.5,No,0.0,0,0,0,0,0,2.0,2.0,2.0,3.0,2.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
941,Master's,2.0,Europe,medium,0,31-40 hours,3.0,6.0,6.0,2 years,2.0,1 year,1.0,No,0.0,0,0,0,0,0,2.0,6.0,3.0,2.0,2.0,4.0,2.333333333333333,0.7382115296131505,-0.5192411626564616,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
942,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,7.0,7.0,4 years,4.0,3 years,3.0,Yes,1.0,0,0,0,0,0,2.0,1.0,3.0,1.0,2.0,1.5,2.0,-1.0006439638693685,-0.801073992433198,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
943,Doctorate,1.0,Asia,very_high,1,61-70 hours,4.0,2.0,4.0,3 years,3.0,2 years,2.0,Yes,1.0,1,1,0,0,1,3.0,5.0,2.0,2.0,1.0,4.0,1.6666666666666667,0.7382115296131505,-1.0829068222099345,High,Low,High supervisor / Low institution,2.0,Well,2.0,Strongly agree
944,Doctorate,1.0,Europe,low,0,Less than 11 hours,9.0,1.0,5.0,4 years,4.0,3 years,3.0,Yes,1.0,0,1,0,1,0,7.0,4.0,7.0,7.0,7.0,5.5,7.0,1.781524825702662,3.426418454217847,High,High,High supervisor / High institution,6.0,Unsure/Not applicable,6.0,Unsure
945,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,7 years,7.0,7 years,7.0,Yes,1.0,1,1,0,0,1,1.0,4.0,1.0,2.0,2.0,2.5,1.6666666666666667,-0.3051017664763607,-1.0829068222099345,Medium,Low,Medium supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
946,Master's,2.0,Europe,high,1,41-50 hours,1.0,3.0,1.0,2 years,2.0,2 years,2.0,Yes,1.0,1,1,0,0,1,2.0,2.0,5.0,6.0,6.0,2.0,5.666666666666667,-0.6528728651728645,2.2990871351109017,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
947,Doctorate,1.0,Europe,very_high,1,71-80 hours,6.0,1.0,5.0,4 years,4.0,3 years,3.0,No,0.0,1,1,0,0,1,7.0,3.0,4.0,2.0,3.0,5.0,3.0,1.433753727006158,0.0444244968970109,High,Medium,High supervisor / Medium institution,3.0,Neither well nor badly,4.0,Somewhat disagree
948,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,5.0,2.0,4 years,4.0,Less than a year,0.5,No,0.0,0,0,0,0,0,2.0,3.0,6.0,3.0,2.0,2.5,3.6666666666666665,-0.3051017664763607,0.6080901564504835,Medium,High,Medium supervisor / High institution,1.0,Very well,3.0,Neither agree nor disagree
949,Dual degree,3.0,Europe,medium,0,31-40 hours,3.0,5.0,2.0,4 years,4.0,3 years,3.0,Yes,1.0,0,0,0,0,0,3.0,6.0,7.0,7.0,7.0,4.5,7.0,1.0859826283096543,3.426418454217847,High,High,High supervisor / High institution,2.0,Well,1.0,Somewhat agree
950,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,2.0,4.0,5 years ,5.0,1 year,1.0,Yes,1.0,0,1,0,1,0,3.0,5.0,4.0,5.0,4.0,4.0,4.333333333333333,0.7382115296131505,1.1717558160039558,High,High,High supervisor / High institution,1.0,Very well,3.0,Neither agree nor disagree
951,Master's,2.0,South America,high,1,41-50 hours,1.0,2.0,4.0,2 years,2.0,3 years,3.0,Yes,1.0,1,1,0,0,1,3.0,1.0,3.0,3.0,3.0,2.0,3.0,-0.6528728651728645,0.0444244968970109,Low,Medium,Low supervisor / Medium institution,3.0,Neither well nor badly,4.0,Somewhat disagree
952,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,1,0,0,1,7.0,2.0,1.0,1.0,4.0,4.5,2.0,1.0859826283096543,-0.801073992433198,High,Low,High supervisor / Low institution,1.0,Very well,2.0,Strongly agree
953,Doctorate,1.0,Asia,high,0,41-50 hours,1.0,4.0,3.0,6 years,6.0,2 years,2.0,No,0.0,1,0,1,0,0,1.0,2.0,5.0,5.0,6.0,1.5,5.333333333333333,-1.0006439638693685,2.017254305334165,Low,High,Low supervisor / High institution,1.0,Very well,1.0,Somewhat agree
954,Doctorate,1.0,Europe,very_high,0,61-70 hours,4.0,5.0,2.0,5 years ,5.0,5 years,5.0,No,0.0,1,0,1,0,0,2.0,1.0,4.0,5.0,4.0,1.5,4.333333333333333,-1.0006439638693685,1.1717558160039558,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
955,Doctorate,1.0,North/Central America,low,0,11-20 hours,8.0,5.0,2.0,5 years ,5.0,Less than a year,0.5,Yes,1.0,0,0,0,0,0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,-0.6528728651728645,-0.801073992433198,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
956,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,6.0,6.0,5 years ,5.0,Less than a year,0.5,Yes,1.0,1,0,1,0,0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,-0.6528728651728645,-1.6465724817634069,Low,Low,Low supervisor / Low institution,2.0,Well,2.0,Strongly agree
957,Doctorate,1.0,North/Central America,high,1,41-50 hours,1.0,3.0,1.0,5 years ,5.0,1 year,1.0,Yes,1.0,1,1,0,0,1,1.0,1.0,5.0,1.0,2.0,1.0,2.6666666666666665,-1.348415062565872,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,2.0,Well,2.0,Strongly agree
958,Doctorate,1.0,North/Central America,very_high,0,61-70 hours,4.0,7.0,7.0,6 years,6.0,5 years,5.0,Yes,1.0,1,0,1,0,0,7.0,3.0,5.0,1.0,6.0,5.0,4.0,1.433753727006158,0.8899229862272199,High,High,High supervisor / High institution,2.0,Well,4.0,Somewhat disagree
959,Doctorate,1.0,South America,medium,0,31-40 hours,3.0,5.0,2.0,4 years,4.0,5 years,5.0,Yes,1.0,0,0,0,0,0,4.0,1.0,4.0,1.0,3.0,2.5,2.6666666666666665,-0.3051017664763607,-0.2374083328797255,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
960,Doctorate,1.0,North/Central America,very_high,1,61-70 hours,4.0,1.0,5.0,7 years,7.0,4 years,4.0,Yes,1.0,1,1,0,0,1,5.0,1.0,1.0,4.0,4.0,3.0,3.0,0.042669332220143,0.0444244968970109,Medium,Medium,Medium supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
961,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,6 years,6.0,4 years,4.0,Yes,1.0,1,1,0,0,1,4.0,3.0,2.0,2.0,3.0,3.5,2.333333333333333,0.3904404309166467,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
962,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,1,0,0,1,3.0,1.0,2.0,1.0,2.0,2.0,1.6666666666666667,-0.6528728651728645,-1.0829068222099345,Low,Low,Low supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
963,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,1,0,0,1,2.0,1.0,3.0,1.0,4.0,1.5,2.6666666666666665,-1.0006439638693685,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
964,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,4.0,3.0,5 years ,5.0,1 year,1.0,Yes,1.0,1,0,1,0,0,1.0,2.0,5.0,1.0,7.0,1.5,4.333333333333333,-1.0006439638693685,1.1717558160039558,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
965,Doctorate,1.0,North/Central America,high,1,41-50 hours,1.0,3.0,1.0,6 years,6.0,4 years,4.0,Yes,1.0,1,1,0,0,1,5.0,2.0,1.0,1.0,2.0,3.5,1.3333333333333333,0.3904404309166467,-1.3647396519866708,Medium,Low,Medium supervisor / Low institution,2.0,Well,1.0,Somewhat agree
966,Doctorate,1.0,North/Central America,very_high,1,61-70 hours,4.0,2.0,4.0,6 years,6.0,5 years,5.0,Yes,1.0,1,1,0,0,1,6.0,3.0,1.0,4.0,4.0,4.5,3.0,1.0859826283096543,0.0444244968970109,High,Medium,High supervisor / Medium institution,3.0,Neither well nor badly,1.0,Somewhat agree
967,Dual degree,3.0,North/Central America,medium,0,21-30 hours,5.0,6.0,6.0,5 years ,5.0,4 years,4.0,No,0.0,0,0,0,0,0,1.0,1.0,2.0,3.0,2.0,1.0,2.333333333333333,-1.348415062565872,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
968,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,5 years ,5.0,3 years,3.0,Yes,1.0,1,0,1,0,0,1.0,2.0,2.0,1.0,3.0,1.5,2.0,-1.0006439638693685,-0.801073992433198,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
969,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,6.0,6.0,7 years,7.0,6 years,6.0,No,0.0,1,0,1,0,0,2.0,6.0,2.0,3.0,5.0,4.0,3.333333333333333,0.7382115296131505,0.3262573266737473,High,Medium,High supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
970,Doctorate,1.0,North/Central America,very_high,1,61-70 hours,4.0,3.0,1.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,1,0,0,1,2.0,5.0,4.0,5.0,1.0,3.5,3.333333333333333,0.3904404309166467,0.3262573266737473,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
971,Doctorate,1.0,Africa,low,0,Less than 11 hours,9.0,4.0,3.0,6 years,6.0,4 years,4.0,Yes,1.0,0,0,0,0,0,2.0,2.0,5.0,3.0,5.0,2.0,4.333333333333333,-0.6528728651728645,1.1717558160039558,Low,High,Low supervisor / High institution,2.0,Well,3.0,Neither agree nor disagree
972,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,5 years ,5.0,4 years,4.0,Yes,1.0,1,0,1,0,0,3.0,1.0,5.0,1.0,2.0,2.0,2.6666666666666665,-0.6528728651728645,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
973,Doctorate,1.0,Europe,very_high,1,61-70 hours,4.0,2.0,4.0,5 years ,5.0,2 years,2.0,No,0.0,1,1,0,0,1,5.0,3.0,4.0,4.0,1.0,4.0,3.0,0.7382115296131505,0.0444244968970109,High,Medium,High supervisor / Medium institution,4.0,Badly,2.0,Strongly agree
974,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,4.0,3.0,5 years ,5.0,5 years,5.0,Yes,1.0,1,0,1,0,0,1.0,2.0,1.0,4.0,3.0,1.5,2.6666666666666665,-1.0006439638693685,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,1.0,Very well,2.0,Strongly agree
975,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,6.0,6.0,6 years,6.0,5 years,5.0,Yes,1.0,0,0,0,0,0,3.0,1.0,2.0,2.0,4.0,2.0,2.6666666666666665,-0.6528728651728645,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,2.0,Well,4.0,Somewhat disagree
976,Doctorate,1.0,North/Central America,high,1,41-50 hours,1.0,3.0,1.0,5 years ,5.0,5 years,5.0,Yes,1.0,1,1,0,0,1,3.0,3.0,2.0,1.0,4.0,3.0,2.333333333333333,0.042669332220143,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,2.0,Well,2.0,Strongly agree
977,Doctorate,1.0,Africa,high,0,51-60 hours,2.0,6.0,6.0,4 years,4.0,3 years,3.0,No,0.0,1,0,1,0,0,2.0,2.0,5.0,3.0,6.0,2.0,4.666666666666667,-0.6528728651728645,1.4535886457806928,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
978,Doctorate,1.0,Europe,high,1,41-50 hours,1.0,2.0,4.0,5 years ,5.0,4 years,4.0,No,0.0,1,1,0,0,1,3.0,6.0,1.0,2.0,4.0,4.5,2.333333333333333,1.0859826283096543,-0.5192411626564616,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
979,Doctorate,1.0,North/Central America,medium,0,21-30 hours,5.0,5.0,2.0,5 years ,5.0,1 year,1.0,Yes,1.0,0,0,0,0,0,3.0,1.0,2.0,1.0,2.0,2.0,1.6666666666666667,-0.6528728651728645,-1.0829068222099345,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
980,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,3.0,1.0,4 years,4.0,3 years,3.0,Yes,1.0,0,1,0,1,0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,0.7382115296131505,0.8899229862272199,High,High,High supervisor / High institution,2.0,Well,1.0,Somewhat agree
981,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,6 years,6.0,5 years,5.0,Yes,1.0,1,0,1,0,0,2.0,1.0,6.0,3.0,3.0,1.5,4.0,-1.0006439638693685,0.8899229862272199,Low,High,Low supervisor / High institution,1.0,Very well,2.0,Strongly agree
982,Doctorate,1.0,Africa,high,0,51-60 hours,2.0,6.0,6.0,4 years,4.0,4 years,4.0,No,0.0,1,0,1,0,0,2.0,3.0,1.0,4.0,2.0,2.5,2.333333333333333,-0.3051017664763607,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
983,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,3.0,1.0,6 years,6.0,2 years,2.0,Yes,1.0,1,1,0,0,1,3.0,3.0,3.0,2.0,1.0,3.0,2.0,0.042669332220143,-0.801073992433198,Medium,Low,Medium supervisor / Low institution,1.0,Very well,3.0,Neither agree nor disagree
984,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,5.0,2.0,4 years,4.0,3 years,3.0,Yes,1.0,1,0,1,0,0,2.0,2.0,2.0,3.0,2.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,3.0,Neither agree nor disagree
985,Doctorate,1.0,North/Central America,medium,0,31-40 hours,3.0,1.0,5.0,4 years,4.0,4 years,4.0,Yes,1.0,0,1,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.7382115296131505,0.8899229862272199,High,High,High supervisor / High institution,1.0,Very well,1.0,Somewhat agree
986,Doctorate,1.0,North/Central America,very_high,1,71-80 hours,6.0,1.0,5.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,1,0,0,1,2.0,1.0,4.0,1.0,4.0,1.5,3.0,-1.0006439638693685,0.0444244968970109,Low,Medium,Low supervisor / Medium institution,1.0,Very well,3.0,Neither agree nor disagree
987,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,5.0,2.0,7 years,7.0,5 years,5.0,Yes,1.0,1,0,1,0,0,1.0,3.0,2.0,1.0,2.0,2.0,1.6666666666666667,-0.6528728651728645,-1.0829068222099345,Low,Low,Low supervisor / Low institution,2.0,Well,1.0,Somewhat agree
988,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,2.0,4.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,1,0,0,1,2.0,1.0,6.0,3.0,3.0,1.5,4.0,-1.0006439638693685,0.8899229862272199,Low,High,Low supervisor / High institution,1.0,Very well,1.0,Somewhat agree
989,Doctorate,1.0,Europe,medium,0,31-40 hours,3.0,6.0,6.0,4 years,4.0,1 year,1.0,No,0.0,0,0,0,0,0,2.0,1.0,6.0,5.0,5.0,1.5,5.333333333333333,-1.0006439638693685,2.017254305334165,Low,High,Low supervisor / High institution,2.0,Well,2.0,Strongly agree
990,Doctorate,1.0,Asia,medium,0,21-30 hours,5.0,4.0,3.0,4 years,4.0,2 years,2.0,Yes,1.0,0,0,0,0,0,3.0,3.0,1.0,4.0,2.0,3.0,2.333333333333333,0.042669332220143,-0.5192411626564616,Medium,Low,Medium supervisor / Low institution,1.0,Very well,2.0,Strongly agree
991,Doctorate,1.0,North/Central America,low,0,Less than 11 hours,9.0,7.0,7.0,More than 7 years,8.0,7 years,7.0,Yes,1.0,0,0,0,0,0,8.0,6.0,5.0,6.0,2.0,7.0,4.333333333333333,2.824838121792173,1.1717558160039558,High,High,High supervisor / High institution,1.0,Very well,1.0,Somewhat agree
992,Master's,2.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,2 years,2.0,2 years,2.0,No,0.0,1,0,1,0,0,1.0,3.0,3.0,4.0,1.0,2.0,2.6666666666666665,-0.6528728651728645,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,1.0,Very well,1.0,Somewhat agree
993,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,6 years,6.0,Less than a year,0.5,Yes,1.0,1,0,1,0,0,2.0,1.0,1.0,4.0,2.0,1.5,2.333333333333333,-1.0006439638693685,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
994,Doctorate,1.0,North/Central America,high,0,51-60 hours,2.0,4.0,3.0,6 years,6.0,2 years,2.0,No,0.0,1,0,1,0,0,1.0,2.0,4.0,1.0,3.0,1.5,2.6666666666666665,-1.0006439638693685,-0.2374083328797255,Low,Medium,Low supervisor / Medium institution,2.0,Well,1.0,Somewhat agree
995,Doctorate,1.0,Europe,high,0,51-60 hours,2.0,4.0,3.0,3 years,3.0,1 year,1.0,Yes,1.0,1,0,1,0,0,4.0,2.0,5.0,6.0,1.0,3.0,4.0,0.042669332220143,0.8899229862272199,Medium,High,Medium supervisor / High institution,1.0,Very well,2.0,Strongly agree
996,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,7.0,7.0,5 years ,5.0,1 year,1.0,No,0.0,1,0,1,0,0,2.0,1.0,2.0,3.0,2.0,1.5,2.333333333333333,-1.0006439638693685,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
997,Doctorate,1.0,North/Central America,high,1,51-60 hours,2.0,1.0,5.0,5 years ,5.0,1 year,1.0,Yes,1.0,1,1,0,0,1,2.0,1.0,2.0,1.0,3.0,1.5,2.0,-1.0006439638693685,-0.801073992433198,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
998,Doctorate,1.0,Europe,very_high,1,61-70 hours,4.0,1.0,5.0,3 years,3.0,3 years,3.0,Yes,1.0,1,1,0,0,1,7.0,3.0,1.0,2.0,1.0,5.0,1.3333333333333333,1.433753727006158,-1.3647396519866708,High,Low,High supervisor / Low institution,1.0,Very well,5.0,Strongly disagree
999,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,5.0,2.0,6 years,6.0,3 years,3.0,Yes,1.0,1,0,1,0,0,2.0,2.0,2.0,3.0,2.0,2.0,2.333333333333333,-0.6528728651728645,-0.5192411626564616,Low,Low,Low supervisor / Low institution,1.0,Very well,2.0,Strongly agree
1000,Doctorate,1.0,Europe,high,0,41-50 hours,1.0,5.0,2.0,4 years,4.0,Less than a year,0.5,No,0.0,1,0,1,0,0,3.0,5.0,2.0,3.0,1.0,4.0,2.0,0.7382115296131505,-0.801073992433198,High,Low,High supervisor / Low institution,1.0,Very well,1.0,Somewhat agree
1001,Doctorate,1.0,North/Central America,high,0,41-50 hours,1.0,4.0,3.0,5 years ,5.0,2 years,2.0,Yes,1.0,1,0,1,0,0,1.0,1.0,2.0,1.0,2.0,1.0,1.6666666666666667,-1.348415062565872,-1.0829068222099345,Low,Low,Low supervisor / Low institution,2.0,Well,2.0,Strongly agree
1002,Master's,2.0,Europe,very_high,1,61-70 hours,4.0,2.0,4.0,2 years,2.0,1 year,1.0,Yes,1.0,1,1,0,0,1,3.0,3.0,1.0,4.0,3.0,3.0,2.6666666666666665,0.042669332220143,-0.2374083328797255,Medium,Medium,Medium supervisor / Medium institution,2.0,Well,3.0,Neither agree nor disagree
