col_name,question_text,orig_code_row1,q_no,q_type,multi_group,value_type,value_labels
v096_code,Did you seek help for anxiety or depression within your institution?  [coded],Q34,Q34,single_coded,,numeric,"{""1"": ""No, I sought help elsewhere"", ""2"": ""Yes, it was helpful"", ""3"": ""Yes, but I didn’t feel supported"", ""4"": ""I wanted to, but there was none available"", ""5"": ""Other"", ""6"": ""Prefer not to say""}"
v103_code,Do you feel that you have experienced bullying during your graduate degree? [coded],Q36,Q36,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes"", ""3"": ""Prefer not to say""}"
v111_code,Do you feel able to speak out about your experiences of bullying without personal repercussions? [coded],Q38,Q38,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes"", ""3"": ""Unsure""}"
v112_code,Do you feel that you have experienced discrimination or harassment during your graduate degree? [coded],Q39,Q39,single_coded,,numeric,"{""1"": ""No"", ""2"": ""Yes"", ""3"": ""Prefer not to say""}"
v162_code,"In terms of the quality of your graduate degree program, do you think that the COVID-19 pandemic hasâ¦ [coded]",Q44,Q44,single_coded,,numeric,"{""1"": ""Negatively impacted the quality"", ""2"": ""No difference"", ""3"": ""Positively impacted the quality""}"
v163_code,How long do you think it will take you to find a permanent (non-trainee) position after you graduate? [coded],Q47,Q47,single_coded,,numeric,"{""1"": ""Less than a year"", ""2"": ""Unsure"", ""3"": ""1 to 2 years"", ""4"": ""3 to 6 years"", ""5"": ""2 to 3 years"", ""6"": ""More than 6 years"", ""7"": ""I have already secured one""}"
v041_num,To what extent do you agree with the following statements?: I am able to save money alongside my studies [numeric],Q19.a,Q19.a,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Strongly disagree"", ""3"": ""Somewhat disagree"", ""4"": ""Strongly agree"", ""5"": ""Neither agree nor disagree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v042_num,To what extent do you agree with the following statements?: I am worried about the increasing cost of living [numeric],Q19.b,Q19.b,likert_numeric,,numeric,"{""1"": ""Strongly agree"", ""2"": ""Somewhat agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Somewhat disagree"", ""5"": ""Strongly disagree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v043_num,To what extent do you agree with the following statements?: Increased inflation will negatively impact my decision to further pursue my studies [numeric],Q19.c,Q19.c,likert_numeric,,numeric,"{""1"": ""Strongly agree"", ""2"": ""Somewhat agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Somewhat disagree"", ""5"": ""Strongly disagree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v044_num,To what extent do you agree with the following statements?: I regularly worry about my increasing student debt [numeric],Q19.d,Q19.d,likert_numeric,,numeric,"{""1"": ""Not applicable"", ""2"": ""Strongly disagree"", ""3"": ""Strongly agree"", ""4"": ""Somewhat agree"", ""5"": ""Neither agree nor disagree"", ""6"": ""Somewhat disagree"", ""7"": ""Prefer not to say""}"
v045_num,What concerns have you had since you started your graduate degree? The difficulty of getting funding / low success rates for grant applications [numeric],Q20.a,Q20.a,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""1 = Not at all concerned"", ""5"": ""2"", ""6"": ""Not applicable""}"
v046_num,What concerns have you had since you started your graduate degree? Inability to finish my studies in the time period I had set out to  [numeric],Q20.b,Q20.b,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v047_num,What concerns have you had since you started your graduate degree? Impact of a poor relationship with my supervisor [numeric],Q20.c,Q20.c,likert_numeric,,numeric,"{""1"": ""1 = Not at all concerned"", ""2"": ""2"", ""3"": ""5 = Very concerned"", ""4"": ""3"", ""5"": ""4"", ""6"": ""Not applicable""}"
v048_num,What concerns have you had since you started your graduate degree? The number of available faculty research jobs  [numeric],Q20.d,Q20.d,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""1 = Not at all concerned"", ""5"": ""2"", ""6"": ""Not applicable""}"
v049_num,What concerns have you had since you started your graduate degree? The high numbers of early career researchers on continuing temporary contracts as postdocs [numeric],Q20.e,Q20.e,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v050_num,What concerns have you had since you started your graduate degree? The difficulty of maintaining a work/life balance [numeric],Q20.f,Q20.f,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v051_num,What concerns have you had since you started your graduate degree? Uncertainty about the value of a graduate degree [numeric],Q20.g,Q20.g,likert_numeric,,numeric,"{""1"": ""4"", ""2"": ""5 = Very concerned"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v052_num,What concerns have you had since you started your graduate degree? Uncertainty about future employment/career prospects [numeric],Q20.h,Q20.h,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v053_num,What concerns have you had since you started your graduate degree? Student debt during my graduate degree [numeric],Q20.i,Q20.i,likert_numeric,,numeric,"{""1"": ""1 = Not at all concerned"", ""2"": ""Not applicable"", ""3"": ""2"", ""4"": ""3"", ""5"": ""5 = Very concerned"", ""6"": ""4""}"
v054_num,"What concerns have you had since you started your graduate degree? Financial worries after my graduate degree (cost of living, inability to save for a house, children, retirement) [numeric]",Q20.j,Q20.j,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v055_num,What concerns have you had since you started your graduate degree? Political landscape  [numeric],Q20.k,Q20.k,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v056_num,What concerns have you had since you started your graduate degree? Impostor syndrome [numeric],Q20.l,Q20.l,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""1 = Not at all concerned"", ""5"": ""2"", ""6"": ""Not applicable""}"
v057_num,What concerns have you had since you started your graduate degree? Concern about my mental health as a result of undertaking a graduate degree [numeric],Q20.m,Q20.m,likert_numeric,,numeric,"{""1"": ""5 = Very concerned"", ""2"": ""4"", ""3"": ""3"", ""4"": ""2"", ""5"": ""1 = Not at all concerned"", ""6"": ""Not applicable""}"
v058_num,What concerns have you had since you started your graduate degree? Poor support and acknowledgement of my parenting/elder care responsibilities  [numeric],Q20.n,Q20.n,likert_numeric,,numeric,"{""1"": ""Not applicable"", ""2"": ""1 = Not at all concerned"", ""3"": ""2"", ""4"": ""3"", ""5"": ""4"", ""6"": ""5 = Very concerned""}"
v059_num,What concerns have you had since you started your graduate degree? Access to teaching staff and supervisors being restricted under remote study formats [numeric],Q20.o,Q20.o,likert_numeric,,numeric,"{""1"": ""1 = Not at all concerned"", ""2"": ""2"", ""3"": ""3"", ""4"": ""Not applicable"", ""5"": ""4"", ""6"": ""5 = Very concerned""}"
v070_num,How satisfied are you with your decision to pursue a graduate degree? [numeric],Q23.a,Q23.a,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""5"", ""3"": ""7 = Extremely satisfied"", ""4"": ""4 = Neither satisfied nor dissatisfied"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1 = Not at all satisfied""}"
v072_num,How satisfied are you with your graduate degree experience? [numeric],Q25.a,Q25.a,likert_numeric,,numeric,"{""1"": ""5"", ""2"": ""6"", ""3"": ""4 = Neither satisfied nor dissatisfied"", ""4"": ""3"", ""5"": ""2"", ""6"": ""7 = Extremely satisfied"", ""7"": ""1 = Not at all satisfied""}"
v074_num,How satisfied are you with each of the following attributes or aspects of your degree? Availability of funding         [numeric],Q27.a,Q27.a,likert_numeric,,numeric,"{""1"": ""4 = Neither satisfied not dissatisfied"", ""2"": ""5"", ""3"": ""6"", ""4"": ""3"", ""5"": ""1 = Not at all satisfied"", ""6"": ""7 = Extremely satisfied"", ""7"": ""2"", ""8"": ""Not applicable""}"
v075_num,How satisfied are you with each of the following attributes or aspects of your degree? Hours worked [numeric],Q27.b,Q27.b,likert_numeric,,numeric,"{""1"": ""4 = Neither satisfied not dissatisfied"", ""2"": ""5"", ""3"": ""3"", ""4"": ""6"", ""5"": ""2"", ""6"": ""1 = Not at all satisfied"", ""7"": ""7 = Extremely satisfied"", ""8"": ""Not applicable""}"
v076_num,How satisfied are you with each of the following attributes or aspects of your degree? Social environment [numeric],Q27.c,Q27.c,likert_numeric,,numeric,"{""1"": ""5"", ""2"": ""6"", ""3"": ""4 = Neither satisfied not dissatisfied"", ""4"": ""3"", ""5"": ""7 = Extremely satisfied"", ""6"": ""2"", ""7"": ""1 = Not at all satisfied"", ""8"": ""Not applicable""}"
v077_num,How satisfied are you with each of the following attributes or aspects of your degree? Degree of independence [numeric],Q27.d,Q27.d,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""5"", ""3"": ""7 = Extremely satisfied"", ""4"": ""4 = Neither satisfied not dissatisfied"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1 = Not at all satisfied"", ""8"": ""Not applicable""}"
v078_num,How satisfied are you with each of the following attributes or aspects of your degree? Recognition from supervisor [numeric],Q27.e,Q27.e,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""7 = Extremely satisfied"", ""3"": ""5"", ""4"": ""4 = Neither satisfied not dissatisfied"", ""5"": ""3"", ""6"": ""1 = Not at all satisfied"", ""7"": ""2"", ""8"": ""Not applicable""}"
v079_num,How satisfied are you with each of the following attributes or aspects of your degree? Overall relationship with supervisor [numeric],Q27.f,Q27.f,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""7 = Extremely satisfied"", ""3"": ""5"", ""4"": ""4 = Neither satisfied not dissatisfied"", ""5"": ""3"", ""6"": ""1 = Not at all satisfied"", ""7"": ""2"", ""8"": ""Not applicable""}"
v080_num,How satisfied are you with each of the following attributes or aspects of your degree? Overall compensation and benefits [numeric],Q27.g,Q27.g,likert_numeric,,numeric,"{""1"": ""1 = Not at all satisfied"", ""2"": ""2"", ""3"": ""3"", ""4"": ""4 = Neither satisfied not dissatisfied"", ""5"": ""5"", ""6"": ""6"", ""7"": ""7 = Extremely satisfied"", ""8"": ""Not applicable""}"
v081_num,How satisfied are you with each of the following attributes or aspects of your degree? Vacation time [numeric],Q27.h,Q27.h,likert_numeric,,numeric,"{""1"": ""4 = Neither satisfied not dissatisfied"", ""2"": ""5"", ""3"": ""1 = Not at all satisfied"", ""4"": ""6"", ""5"": ""3"", ""6"": ""7 = Extremely satisfied"", ""7"": ""2"", ""8"": ""Not applicable""}"
v082_num,How satisfied are you with each of the following attributes or aspects of your degree? Guidance received from adviser in lab/research  [numeric],Q27.i,Q27.i,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""5"", ""3"": ""7 = Extremely satisfied"", ""4"": ""4 = Neither satisfied not dissatisfied"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1 = Not at all satisfied"", ""8"": ""Not applicable""}"
v083_num,How satisfied are you with each of the following attributes or aspects of your degree? Ability to attend meetings and conferences [numeric],Q27.j,Q27.j,likert_numeric,,numeric,"{""1"": ""6"", ""2"": ""5"", ""3"": ""4 = Neither satisfied not dissatisfied"", ""4"": ""7 = Extremely satisfied"", ""5"": ""3"", ""6"": ""2"", ""7"": ""1 = Not at all satisfied"", ""8"": ""Not applicable""}"
v084_num,How satisfied are you with each of the following attributes or aspects of your degree? Work-life balance [numeric],Q27.k,Q27.k,likert_numeric,,numeric,"{""1"": ""3"", ""2"": ""5"", ""3"": ""4 = Neither satisfied not dissatisfied"", ""4"": ""2"", ""5"": ""1 = Not at all satisfied"", ""6"": ""6"", ""7"": ""7 = Extremely satisfied"", ""8"": ""Not applicable""}"
v085_num,How satisfied are you with each of the following attributes or aspects of your degree? Career pathway guidance and advice [numeric],Q27.l,Q27.l,likert_numeric,,numeric,"{""1"": ""4 = Neither satisfied not dissatisfied"", ""2"": ""3"", ""3"": ""5"", ""4"": ""1 = Not at all satisfied"", ""5"": ""2"", ""6"": ""6"", ""7"": ""7 = Extremely satisfied"", ""8"": ""Not applicable""}"
v086_num,How satisfied are you with each of the following attributes or aspects of your degree? Quality of teaching [numeric],Q27.m,Q27.m,likert_numeric,,numeric,"{""1"": ""5"", ""2"": ""4 = Neither satisfied not dissatisfied"", ""3"": ""6"", ""4"": ""3"", ""5"": ""Not applicable"", ""6"": ""2"", ""7"": ""7 = Extremely satisfied"", ""8"": ""1 = Not at all satisfied""}"
v087_num,How satisfied are you with each of the following attributes or aspects of your degree? Balance of teaching and practical elements [numeric],Q27.n,Q27.n,likert_numeric,,numeric,"{""1"": ""4 = Neither satisfied not dissatisfied"", ""2"": ""5"", ""3"": ""6"", ""4"": ""Not applicable"", ""5"": ""3"", ""6"": ""2"", ""7"": ""7 = Extremely satisfied"", ""8"": ""1 = Not at all satisfied""}"
v091_num,My supervisor â¦ Makes time for frank conversations about my career    [numeric],Q32.a,Q32.a,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Strongly agree"", ""3"": ""Somewhat disagree"", ""4"": ""Strongly disagree"", ""5"": ""Neither agree nor disagree"", ""6"": ""Unsure/Not applicable""}"
v092_num,My supervisor â¦ Is open to the idea of me pursuing a career outside academia [numeric],Q32.b,Q32.b,likert_numeric,,numeric,"{""1"": ""Strongly agree"", ""2"": ""Somewhat agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Unsure/Not applicable"", ""5"": ""Somewhat disagree"", ""6"": ""Strongly disagree""}"
v093_num,My supervisor â¦ Has useful advice for careers outside academia [numeric],Q32.c,Q32.c,likert_numeric,,numeric,"{""1"": ""Neither agree nor disagree"", ""2"": ""Somewhat agree"", ""3"": ""Strongly disagree"", ""4"": ""Somewhat disagree"", ""5"": ""Unsure/Not applicable"", ""6"": ""Strongly agree""}"
v094_num,My supervisor â¦ Has encouraged me to attend career training and events [numeric],Q32.d,Q32.d,likert_numeric,,numeric,"{""1"": ""Strongly agree"", ""2"": ""Somewhat agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Strongly disagree"", ""5"": ""Somewhat disagree"", ""6"": ""Unsure/Not applicable""}"
v097_num,Mental health and wellbeing services in my university are tailored and appropriate to the needs of graduate students [numeric],Q35.a,Q35.a,likert_numeric,,numeric,"{""1"": ""Somewhat disagree"", ""2"": ""Somewhat agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Strongly disagree"", ""5"": ""Not applicable"", ""6"": ""Strongly agree"", ""7"": ""Prefer not to say""}"
v098_num,My supervisor has a good awareness of support services and was able to signpost me to them if needed [numeric],Q35.b,Q35.b,likert_numeric,,numeric,"{""1"": ""Strongly disagree"", ""2"": ""Neither agree nor disagree"", ""3"": ""Somewhat disagree"", ""4"": ""Somewhat agree"", ""5"": ""Not applicable"", ""6"": ""Strongly agree"", ""7"": ""Prefer not to say""}"
v099_num,My university offers adequate one-to-one mental health support [numeric],Q35.c,Q35.c,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Neither agree nor disagree"", ""3"": ""Strongly disagree"", ""4"": ""Somewhat disagree"", ""5"": ""Strongly agree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v100_num,"My university offers different types of support to promote mental health and wellbeing beyond one-to-one support (e.g. workshops, seminars, activities) [numeric]",Q35.d,Q35.d,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Neither agree nor disagree"", ""3"": ""Strongly agree"", ""4"": ""Somewhat disagree"", ""5"": ""Strongly disagree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v101_num,My university supports good work-life balance [numeric],Q35.e,Q35.e,likert_numeric,,numeric,"{""1"": ""Neither agree nor disagree"", ""2"": ""Somewhat agree"", ""3"": ""Somewhat disagree"", ""4"": ""Strongly disagree"", ""5"": ""Strongly agree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v102_num,"There is a long-hours culture at my university, including sometimes working through the night      [numeric]",Q35.f,Q35.f,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Strongly agree"", ""3"": ""Somewhat disagree"", ""4"": ""Neither agree nor disagree"", ""5"": ""Strongly disagree"", ""6"": ""Not applicable"", ""7"": ""Prefer not to say""}"
v123_num,How much do you expect your graduate degree to improve your job prospects? [numeric],Q41.a,Q41.a,likert_numeric,,numeric,"{""1"": ""Substantially"", ""2"": ""Somewhat"", ""3"": ""Dramatically"", ""4"": ""Barely"", ""5"": ""Unsure"", ""6"": ""Not at all""}"
v164_num,How much more likely are you now to pursue a research career than when you launched your graduate degree? [numeric],Q48.a,Q48.a,likert_numeric,,numeric,"{""1"": ""Equally likely"", ""2"": ""Somewhat more likely"", ""3"": ""Somewhat less likely"", ""4"": ""Much more likely"", ""5"": ""Much less likely"", ""6"": ""Unsure""}"
v197_num,How well is your current graduate degree preparing you to carry out each of the following activities? Collecting and analyzing data      [numeric],Q52.a,Q52.a,likert_numeric,,numeric,"{""1"": ""Very well"", ""2"": ""Well"", ""3"": ""Neither well nor badly"", ""4"": ""Badly"", ""5"": ""Very badly"", ""6"": ""Unsure/Not applicable""}"
v198_num,How well is your current graduate degree preparing you to carry out each of the following activities? Designing robust reproducible experiments [numeric],Q52.b,Q52.b,likert_numeric,,numeric,"{""1"": ""Well"", ""2"": ""Very well"", ""3"": ""Neither well nor badly"", ""4"": ""Badly"", ""5"": ""Unsure/Not applicable"", ""6"": ""Very badly""}"
v199_num,How well is your current graduate degree preparing you to carry out each of the following activities? Writing a paper for publication in a peer-reviewed journal [numeric],Q52.c,Q52.c,likert_numeric,,numeric,"{""1"": ""Well"", ""2"": ""Very well"", ""3"": ""Neither well nor badly"", ""4"": ""Badly"", ""5"": ""Unsure/Not applicable"", ""6"": ""Very badly""}"
v200_num,How well is your current graduate degree preparing you to carry out each of the following activities? Applying for funding  [numeric],Q52.d,Q52.d,likert_numeric,,numeric,"{""1"": ""Neither well nor badly"", ""2"": ""Well"", ""3"": ""Badly"", ""4"": ""Very badly"", ""5"": ""Very well"", ""6"": ""Unsure/Not applicable""}"
v201_num,How well is your current graduate degree preparing you to carry out each of the following activities? Finding a satisfying career [numeric],Q52.e,Q52.e,likert_numeric,,numeric,"{""1"": ""Neither well nor badly"", ""2"": ""Well"", ""3"": ""Badly"", ""4"": ""Very badly"", ""5"": ""Very well"", ""6"": ""Unsure/Not applicable""}"
v202_num,How well is your current graduate degree preparing you to carry out each of the following activities? Managing complex projects [numeric],Q52.f,Q52.f,likert_numeric,,numeric,"{""1"": ""Well"", ""2"": ""Very well"", ""3"": ""Neither well nor badly"", ""4"": ""Badly"", ""5"": ""Very badly"", ""6"": ""Unsure/Not applicable""}"
v203_num,How well is your current graduate degree preparing you to carry out each of the following activities? Developing a business plan [numeric],Q52.g,Q52.g,likert_numeric,,numeric,"{""1"": ""Very badly"", ""2"": ""Badly"", ""3"": ""Neither well nor badly"", ""4"": ""Unsure/Not applicable"", ""5"": ""Well"", ""6"": ""Very well""}"
v204_num,How well is your current graduate degree preparing you to carry out each of the following activities? Managing people [numeric],Q52.h,Q52.h,likert_numeric,,numeric,"{""1"": ""Neither well nor badly"", ""2"": ""Well"", ""3"": ""Badly"", ""4"": ""Very badly"", ""5"": ""Very well"", ""6"": ""Unsure/Not applicable""}"
v205_num,How well is your current graduate degree preparing you to carry out each of the following activities? Managing a large operational budget [numeric],Q52.i,Q52.i,likert_numeric,,numeric,"{""1"": ""Very badly"", ""2"": ""Badly"", ""3"": ""Neither well nor badly"", ""4"": ""Unsure/Not applicable"", ""5"": ""Well"", ""6"": ""Very well""}"
v206_num,I feel that my graduate degree program is preparing me well for a research career [numeric],Q53.a,Q53.a,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Strongly agree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Somewhat disagree"", ""5"": ""Strongly disagree"", ""6"": ""Unsure""}"
v207_num,I feel that my graduate degree program is preparing me well for a non-research science-related career [numeric],Q53.b,Q53.b,likert_numeric,,numeric,"{""1"": ""Somewhat agree"", ""2"": ""Somewhat disagree"", ""3"": ""Neither agree nor disagree"", ""4"": ""Strongly disagree"", ""5"": ""Strongly agree"", ""6"": ""Unsure""}"
v060_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:1,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v061_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:2,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v062_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:3,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v063_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:4,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v064_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:5,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v065_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:6,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v066_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:7,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v067_bin,"Overall, what do you enjoy most about life as a graduate      student?  [binary]",Q22:8,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v068_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:9,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v069_bin,"Overall, what do you enjoy most about life as a graduate student?  [binary]",Q22:10,Q22,multiple_binary,Q22,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v104_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:1,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v105_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:2,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v106_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:3,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v107_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:4,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v108_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:5,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v109_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:6,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v110_bin,Who was the perpetrator(s)? Please select all that apply. [binary],Q37:7,Q37,multiple_binary,Q37,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v113_bin,Which of the following have you experienced?  [binary],Q40:1,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v114_bin,Which of the following have you experienced?  [binary],Q40:2,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v115_bin,Which of the following have you experienced?  [binary],Q40:3,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v116_bin,Which of the following have you experienced?  [binary],Q40:4,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v117_bin,Which of the following have you experienced?  [binary],Q40:5,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v118_bin,Which of the following have you experienced?  [binary],Q40:6,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v119_bin,Which of the following have you experienced?  [binary],Q40:7,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v120_bin,Which of the following have you experienced?  [binary],Q40:8,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v121_bin,Which of the following have you experienced?  [binary],Q40:9,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v122_bin,Which of the following have you experienced?  [binary],Q40:10,Q40,multiple_binary,Q40,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v149_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:1,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v150_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:2,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v151_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:3,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v152_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:4,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v153_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:5,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v154_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:6,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v155_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:7,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v156_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:8,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v157_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:9,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v158_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:10,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v159_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:11,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v160_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:12,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v161_bin,"If youâre unlikely to pursue an academic research career, what are the main reasons?  [binary]",Q43:13,Q43,multiple_binary,Q43,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v165_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:1,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
v166_bin,How do you learn about available career opportunities that are beyond academia?  [binary],Q49:2,Q49,multiple_binary,Q49,numeric,"{""0"": ""not_selected"", ""1"": ""selected""}"
